project_id,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,land_acquired_till_now_ha,sanction_count,sanction_number,sanction_date,sanction_date_iso,sanction_amount,sanction_amount_total,first_sanction_date,last_sanction_date,num_3a,num_3A,num_3D,total_notifications,first_3a_date,last_3a_date,first_3A_date,last_3A_date,first_3D_date,last_3D_date,first_notification_date,last_notification_date,land_available_pct,land_acquisition_progress_pct,land_remaining_to_acquire_ha,days_3a_to_3A,days_3A_to_3D,days_3a_to_3D,notification_active_span_days,latest_stage,stage_3D_reached,source_url
61302,SRehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 199.150 to km 229.817 ( Design chainage km 162.800 to km 198.250 under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode,MO/2024/61302,63.77,23.2,40.57,0,0,,,,,0,,,2,0,0,2,2020-08-07,2020-08-07,,,,,2020-08-07,2020-08-07,36.3807,0.0,40.57,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61302
59627,CONSTRUCTION AND IMPROVEMENT OF NEWLY DECLARED NH- RAFIABAD-KUPWARA-CHOWKIBAL-TANGDHAR-CHAMKOT ROAD FROM DESIGN CHAINAGE KM. 0+000 TO KM.121+420 FOR NHDL SPECIFICATION WITH PAVED SHOULDER IN 109 RCC UNDER 32 BRTF PROJECT BEACON IN THE UT OF JAMMU & KASHMIR.,MO/2020/59627,275.336,195.756,79.58,0.02033,2,RO-JK-RKCTC-01-2023-24 RO-JK-RKCTC-01-2023-24,11/03/2024,2024-03-11,140449400000,148113100000,2024-03-11,2026-07-30,8,34,14,56,2020-11-19,2026-01-12,2021-11-15,2026-05-18,2024-04-10,2025-05-20,2020-11-19,2026-05-18,71.0971,0.0255,79.55967,361,877,1238,2006,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59627
59644,Strengthening and Improvement to 2 Lane/2 Lane with Paved Shoulder/ 4 Lane devided carriageway from Design Km.14+200 to Km.101+000 (Srinagar â€“ Baramulla â€“ Uri (NH-1) in 53 RCC Under 760 BRTF Project Beacon in the state of UT Jammu& Kashmir.,MO/2020/59644,331.365,91.468,239.897,1.7584,5,RW/NH-12014/1487/2020/J&K/Z-II RW/NH-12014/1487/2020/J&K/Z-II,14/01/2021,2021-01-14,475100000,35457000000,2021-01-14,2023-09-11,6,36,32,74,2020-11-13,2022-07-28,2021-04-13,2025-10-17,2021-06-21,2026-02-03,2020-11-13,2026-02-03,27.6034,0.733,238.1386,151,69,220,1908,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59644
61340,"Providing Retaining Wall, B/Walls, Minor Bridges, Signages, Crash Barriers & Slop Protection in the selected reaches of NH-1C (New NH--144) form Km 24 to Km 41 in the UT of Jammu and Kashmir on EPC mode.",MO/2025/61340,0.0202343,0,0.0202343,0.0131501,1,RW/NH-12014/1455/2020/J&K/Zone-II RW/NH-12014/1455/2020/J&K/Zone-II,01/02/2021,2021-02-01,550505000,550505000,2021-02-01,2021-02-01,4,2,2,8,2025-01-09,2025-01-23,2025-02-11,2025-02-11,2025-05-15,2025-05-15,2025-01-09,2025-05-15,0.0,64.9892,0.007084,33,93,126,126,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61340
61369,"Construction of flyover at Sanatnagar Junction including its approaches, the length of the flyover including approaches is 0.850 km i.e. section km 292+950 to km 293+800 of NH-44 at Srinagar in the UT of Jammu & Kashmir on EPC mode.",MO/2025/61369,0.0615375,0,0.0615375,0,1,NH-44-J&K-2022-23-112 NH-44-J&K-2022-23-112,15/02/2023,2023-02-15,453970000,453970000,2023-02-15,2023-02-15,4,0,0,4,2025-03-26,2025-05-09,,,,,2025-03-26,2025-05-09,0.0,0.0,0.061538,,,,44,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61369
22059,Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh. Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh,MO/2017/22059,2.32,2,0.32,0,1,NH-22(new NH -05)-HP-2013-14-380 - ( -)----380,31/03/2014,2014-03-31,14.66,14.66,2014-03-31,2014-03-31,2,2,2,6,2017-07-29,2017-07-29,2017-07-30,2017-07-30,2017-07-31,2017-07-31,2017-07-29,2017-07-31,86.2069,0.0,0.32,1,1,2,2,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=22059
57039,Reconstruction to two lanes including geometrical improvement from Km 5/0 to 18/0 (Nagrota Bagwan-Ranital-Mubarikpur Road) on NH 20 A (New NH-303) in the state of Himachal Pradesh.,MO/2018/57039,2.88,0,2.88,0,1,RW/NH-12014/1139/2016/HP/NH-1 RW/NH-12014/1139/2016/HP/NH-1,04/01/2017,2017-01-04,614814000,614814000,2017-01-04,2017-01-04,0,0,0,0,,,,,,,,,0.0,0.0,2.88,,,,,No Notification,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57039
57556,Improvement of narrow reaches from Km 95/0 to Km 100/0 of the National Highway No 70 (New NH-03) in the state of Himachal Pradesh,MO/2018/57556,2.3786,0,2.3786,0,1,XXXXXXXXXXXXXXXXXX XXXXXXXXXXXXX,01/04/2016,2016-04-01,0,0,2016-04-01,2016-04-01,2,0,0,2,2018-04-12,2018-04-12,,,,,2018-04-12,2018-04-12,0.0,0.0,2.3786,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57556
57880,Two Laning with Paved Shoulder of Paonta Sahib â€“ Gumma section from km 0.00 to km 97.00 of NH-72B in the State of Himachal Pradesh,MO/2018/57880,189.9563,140.519,49.4373,6.023131,1,RW/NH-12012/01/2019/HP/EAP RW/NH-12012/01/2019/HP/EAP,24/09/2020,2020-09-24,706280000,706280000,2020-09-24,2020-09-24,4,16,14,34,2016-03-14,2019-12-31,2019-09-17,2026-06-08,2020-04-22,2025-04-16,2016-03-14,2026-06-08,73.9744,12.1834,43.414169,1282,218,1500,3738,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57880
58983,Land Acquisition from KM 35/0 to 66/275 of Pinjore - Nalagarh - Swarghat road NH-21 A in the State of Himachal Pradesh .,MO/2019/58983,2.5398,0,2.5398,0,1,SRW/NH-12014/895/2014/HP/NH-1 SRW/NH-12014/895/2014/HP/NH-?,17/02/2015,2015-02-17,618288000,618288000,2015-02-17,2015-02-17,10,10,10,30,2006-05-12,2006-05-12,2017-02-08,2018-10-01,2017-02-18,2019-03-07,2006-05-12,2019-03-07,0.0,0.0,2.5398,3925,10,3935,4682,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58983
